"REF_DATE","GEO","DGUID","Work activity during the reference year (9)","Age (15A)","Gender (3)","Statistics (3)","Occupation - Minor group - National Occupational Classification (NOC) 2021 (309A)","Employment income statistics (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","111 Professional occupations in finance","Median employment income ($)","","0","units","0","","1.1.1.1.1.15.3","68000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1110 Auditors, accountants and investment professionals","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.16.1","422595","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1110 Auditors, accountants and investment professionals","With employment income","","0","units","0","","1.1.1.1.1.16.2","401235","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1110 Auditors, accountants and investment professionals","Median employment income ($)","","0","units","0","","1.1.1.1.1.16.3","68000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","112 Professional occupations in business","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.17.1","371455","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","112 Professional occupations in business","With employment income","","0","units","0","","1.1.1.1.1.17.2","344920","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","112 Professional occupations in business","Median employment income ($)","","0","units","0","","1.1.1.1.1.17.3","61600","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1120 Human resources and business service professionals","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.18.1","371455","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1120 Human resources and business service professionals","With employment income","","0","units","0","","1.1.1.1.1.18.2","344920","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1120 Human resources and business service professionals","Median employment income ($)","","0","units","0","","1.1.1.1.1.18.3","61600","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","12 Administrative and financial supervisors and specialized administrative occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.19.1","523060","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","12 Administrative and financial supervisors and specialized administrative occupations","With employment income","","0","units","0","","1.1.1.1.1.19.2","495335","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","12 Administrative and financial supervisors and specialized administrative occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.19.3","52400","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","120 Administrative and financial supervisors","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.20.1","70690","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","120 Administrative and financial supervisors","With employment income","","0","units","0","","1.1.1.1.1.20.2","68415","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","120 Administrative and financial supervisors","Median employment income ($)","","0","units","0","","1.1.1.1.1.20.3","59200","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1201 Administrative and financial supervisors","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.21.1","70690","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1201 Administrative and financial supervisors","With employment income","","0","units","0","","1.1.1.1.1.21.2","68415","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1201 Administrative and financial supervisors","Median employment income ($)","","0","units","0","","1.1.1.1.1.21.3","59200","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","121 Specialized administrative occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.22.1","229440","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","121 Specialized administrative occupations","With employment income","","0","units","0","","1.1.1.1.1.22.2","220315","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","121 Specialized administrative occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.22.3","56800","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1210 Administrative and regulatory occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.23.1","203735","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1210 Administrative and regulatory occupations","With employment income","","0","units","0","","1.1.1.1.1.23.2","196195","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1210 Administrative and regulatory occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.23.3","58000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1211 Court reporters, transcriptionists, records management technicians and statistical officers","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.24.1","25705","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1211 Court reporters, transcriptionists, records management technicians and statistical officers","With employment income","","0","units","0","","1.1.1.1.1.24.2","24120","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1211 Court reporters, transcriptionists, records management technicians and statistical officers","Median employment income ($)","","0","units","0","","1.1.1.1.1.24.3","44000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","122 Accounting, insurance and related business administrative occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.25.1","222925","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","122 Accounting, insurance and related business administrative occupations","With employment income","","0","units","0","","1.1.1.1.1.25.2","206610","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","122 Accounting, insurance and related business administrative occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.25.3","43600","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1220 Accounting, insurance and related business administrative occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.26.1","222925","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1220 Accounting, insurance and related business administrative occupations","With employment income","","0","units","0","","1.1.1.1.1.26.2","206610","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1220 Accounting, insurance and related business administrative occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.26.3","43600","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","13 Administrative occupations and transportation logistics occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.27.1","817585","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","13 Administrative occupations and transportation logistics occupations","With employment income","","0","units","0","","1.1.1.1.1.27.2","772925","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","13 Administrative occupations and transportation logistics occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.27.3","43200","","","","0"
